,name,rating,reviews,type,hq,old,employees
9900,Turtlemint,3.6,27 Reviews,Mumbai + 8 more,5 years old,201-500 employees,
9901,Casino Air Caterers & Fl...,3.7,27 Reviews,Chennai + 3 more,,,
9902,Peerless Financial Produ...,3.7,27 Reviews,Private,Kolkata + 14 more,33 years old,
9903,JECRC University,3.4,27 Reviews,Private,Jaipur,501-1000 employees,
9904,Sudhir Sales And Service...,3.4,27 Reviews,Ahmedabad + 6 more,,,
9905,Orange Retail Finance,3.8,27 Reviews,Private,Paris + 11 more,32 years old,10000+ employees
9906,Shree Balaji Engicons,3.5,27 Reviews,Private,Raigarh,22 years old,
9907,JSS Academy of Technical...,3.8,27 Reviews,Private,Noida + 3 more,201-500 employees,
9908,INCO Group Of Companies,3.5,27 Reviews,Private,Dubai + 1 more,51-200 employees,
9909,Sri Sathya Sai Institute...,4.5,27 Reviews,India + 2 more,,,
9910,Milkbasket,4.3,27 Reviews,Gurgaon + 3 more,5 years old,51-200 employees,
9911,6Tel Consultancy,1.9,27 Reviews,Ghaziabad + 3 more,,,
9912,Etoos Education,4.2,27 Reviews,Private,Delhi + 5 more,,
9913,Irclass Systems And Solu...,4.2,27 Reviews,Private,Powai + 6 more,,
9914,Jama Corporation,3.2,27 Reviews,Kanpur,,,
9915,Hassia Packaging,3.3,27 Reviews,Chennai,,,
9916,Eugia Pharma Specialitie...,4.1,27 Reviews,Hyderabad,,,
9917,Tasmed,3.9,27 Reviews,Guwahati + 5 more,,,
9918,Jehan Numa Palace Hotel,4.5,27 Reviews,Bhopal,,,
9919,Venus Data Products,3.7,27 Reviews,Private,Surat + 3 more,1-50 employees,
9920,National Institute of De...,4.5,27 Reviews,Private,India + 4 more,1-50 employees,
9921,Podar World School,3.2,27 Reviews,Nagpur + 2 more,,,
9922,SuvarnaFMS,3.9,27 Reviews,Hyderabad,,,
9923,Dwarikesh Sugar Industri...,4.1,27 Reviews,Public,Najibabad + 3 more,,
9924,Tyche Diecast,4.2,27 Reviews,Private,Hyderabad + 1 more,24 years old,
9925,Freudenberg Gala Househo...,4.2,27 Reviews,Private,Plymouth + 4 more,5001-10000 employees,
9926,Sterling Indo Tech Consu...,2.8,27 Reviews,Pithoragarh + 4 more,,,
9927,SRS International School,3.9,27 Reviews,Palwal + 7 more,,,
9928,OCAP CHASSIS PARTS,4.3,27 Reviews,Alwar + 2 more,,,
9929,Eldyne Electro Systems,3.1,27 Reviews,Itarsi,,,
9930,Quality Needles,4.0,27 Reviews,Private,New Delhi,501-1000 employees,
9931,One Up Motors,3.6,27 Reviews,Private,Delhi,,
9932,Health & Family Welfare ...,3.6,27 Reviews,Private,Raipur + 11 more,1-50 employees,
9933,Jash Technical Services,3.8,27 Reviews,Chennai + 3 more,,,
9934,FMM,4.2,27 Reviews,Private,Kuala Lumpur + 2 more,51-200 employees,
9935,Vidya Prakashan Mandir,4.4,27 Reviews,Mumbai + 5 more,,,
9936,Nina Waterproofing Syste...,4.2,27 Reviews,Hyderabad + 7 more,201-500 employees,,
9937,Shivalik Engineering Ind...,3.2,27 Reviews,Private,New Delhi + 2 more,201-500 employees,
9938,Sinopec,4.3,27 Reviews,Private,Beijing + 3 more,10000+ employees,
9939,Betamonks,4.2,27 Reviews,Private,Chennai + 2 more,51-200 employees,
9940,Njs Engineers India,3.9,27 Reviews,Private,Pune + 8 more,,
9941,Tirupati Group,4.0,27 Reviews,Mumbai + 3 more,,,
9942,Teleone Consumers Produc...,3.9,27 Reviews,Hyderabad + 4 more,,,
9943,Al Futtaim Engineering,3.8,27 Reviews,New Delhi + 3 more,,,
9944,The Fern An Ecotel Hotel,4.0,27 Reviews,Private,Mumbai + 2 more,51-200 employees,
9945,Janaswamy Associates,4.2,27 Reviews,Navi Mumbai + 3 more,51-200 employees,,
9946,Indus Management Consult...,4.7,27 Reviews,Private,Gurgaon + 7 more,51-200 employees,
9947,Millborn Switchgears,3.4,27 Reviews,Kolkata + 2 more,,,
9948,Osstem Implant India,3.6,27 Reviews,Chennai + 4 more,,,
9949,Lucky Exports,3.4,27 Reviews,Private,New Delhi + 3 more,1-50 employees,
9950,Saudi Arabian Baytur Con...,4.0,27 Reviews,Mumbai + 4 more,,,
9951,INSTITUTE OF NEUROSCIENC...,3.6,27 Reviews,Private,Kolkata + 1 more,501-1000 employees,
9952,Skanda Aerospace,4.0,27 Reviews,Private,Hyderabad,10 years old,
9953,Inser Hitech Engineers,4.2,27 Reviews,Private,Chennai,11 years old,
9954,National Catering Compan...,4.1,27 Reviews,Private,Mumbai + 6 more,201-500 employees,
